"Tank #","Facility ID",Capacity,Status,Substance,"Tank Material","Date Installed",Atg,Delete
1,1-050033,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
1,1-050034,1000,Closure,"Regular Gasoline","Fiberglass Reinforced Plastic",01/01/1984, ,
1,1-050035,2000,Closure,Diesel,"Asphalt Coated or Bare Steel",08/01/1976, ,
2,1-050035,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",08/01/1976, ,
3,1-050035,500,Closure,"Used Oil","Asphalt Coated or Bare Steel",08/01/1976, ,
1,1-050036,2000,Closure,Diesel,"Asphalt Coated or Bare Steel",07/01/1968, ,
2,1-050036,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",07/01/1968, ,
1,1-050038,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",07/01/1980, ,
1,1-050041,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1978, ,
1,1-050042,500,Closure,"Regular Gasoline",Unknown,12/22/1988, ,
1,1-050043,10000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1973, ,
2,1-050043,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1973, ,
1,1-050049,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1980, ,
1,1-050050,550,Active,Other,"Asphalt Coated or Bare Steel",01/01/1960, ,
2,1-050050,3000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1960, ,
3,1-050050,550,Active,"Used Oil","Asphalt Coated or Bare Steel",01/01/1960, ,
4,1-050050,3000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1960, ,
5,1-050050,4000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1960, ,
6A,1-050050,5000,Active,"E10 Regular","Composite (Steel w/ FRP)",05/01/1996,T1,
6B,1-050050,3000,Active,"E10 Premium","Composite (Steel w/ FRP)",05/01/1996,T2,
1,1-050051,1500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1973, ,
1,1-050052,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
2,1-050052,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1969, ,
2,1-050054,500,Active,"Not Listed","Asphalt Coated or Bare Steel",06/01/1956, ,
3,1-050054,15000,Active,Diesel,"Fiberglass Reinforced Plastic",07/10/2012,300114138,
1,1-050055,12000,Active,Gasohol,"Not Listed",01/01/1946, ,
2,1-050055,3000,Active,Gasohol,"Not Listed",01/01/1946, ,
3,1-050055,3000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1974, ,
4,1-050055,12000,Active,Diesel,"Not Listed",01/01/1952, ,
5,1-050055,8000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1978, ,
6A,1-050055,7000,Active,"Regular Gasoline","Cathodically Protected Steel (Galvanic)",02/24/1999,"Tank 1",
6B,1-050055,3000,Active,"Premium Gasoline","Cathodically Protected Steel (Galvanic)",02/24/1999,"Tank 2",
7A,1-050055,5000,Active,Diesel,"Cathodically Protected Steel (Galvanic)",02/24/1999,"Tank 3",
7B,1-050055,5000,Active,"Offroad Diesel","Cathodically Protected Steel (Galvanic)",02/24/1999,"Tank 4",
1,1-050602,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
2,1-050602,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
1,1-050603,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1974, ,
2,1-050603,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1974, ,
1,1-050604,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",05/01/1987, ,
1,1-050606,550,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1982, ,
1,1-050607,1100,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1969, ,
1,1-050608,1000,Closure,"Regular Gasoline", ,01/01/1972, ,
1,1-050609,1100,Closure,"Regular Gasoline", ,01/01/1985, ,
1,1-050610,1000,Closure,Diesel, ,07/01/1974, ,
1,1-050611,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1980, ,
1,1-090001,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1984, ,
2,1-090001,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1984, ,
1,1-090002,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1976, ,
2,1-090002,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
1,1-090003,4000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1982, ,
1,1-090004,2000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",01/01/1972, ,
2,1-090004,2000,Closure,Diesel,"Cathodically Protected Steel (Impressed Current)",01/01/1972, ,
3,1-090004,2000,Closure,Diesel,"Cathodically Protected Steel (Impressed Current)",01/01/1972, ,
4,1-090004,2000,Closure,Diesel,"Cathodically Protected Steel (Impressed Current)",01/01/1972, ,
1,1-090005,1000,Closure,"Regular Gasoline",Unknown,01/01/1976, ,
1,1-090006,250,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1985, ,
2,1-090006,250,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1984, ,
1,1-090007,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
2,1-090007,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
3,1-090007,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
4,1-090007,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
1,1-090008,2000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1985, ,
2,1-090008,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1985, ,
1,1-090009,200,Closure,Diesel,"Asphalt Coated or Bare Steel",05/01/1974, ,
1,1-090010,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1973, ,
2,1-090010,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1973, ,
3,1-090010,12000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1980, ,
4,1-090010,12000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1980, ,
1,1-090011,2000,Closure,"Regular Gasoline",Unknown,01/01/1956, ,
2,1-090011,1000,Closure,"Regular Gasoline",Unknown,01/01/1976, ,
3,1-090011,2500,Closure,Diesel,Unknown,01/01/1976, ,
1,1-090013,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
1,1-090014,3000,Closure,Gasohol,"Asphalt Coated or Bare Steel",04/01/1975, ,
2,1-090014,6000,Closure,Gasohol,"Asphalt Coated or Bare Steel",04/01/1975, ,
3,1-090014,6000,Closure,Gasohol,"Asphalt Coated or Bare Steel",04/01/1975, ,
4,1-090014,6000,Closure,Gasohol,"Asphalt Coated or Bare Steel",04/01/1975, ,
5,1-090014,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",04/01/1975, ,
6,1-090014,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",04/01/1975, ,
7,1-090014,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",04/01/1975, ,
1,1-090015,8000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1968, ,
2,1-090015,10000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1968, ,
3,1-090015,5000,Closure,Kerosene,"Asphalt Coated or Bare Steel",01/01/1968, ,
5,1-090015,5000,Closure,Kerosene,"Asphalt Coated or Bare Steel",01/01/1968, ,
1,1-090016,9000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1947, ,
2,1-090016,9000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1947, ,
3,1-090016,9000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1947, ,
1,1-090017,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1971, ,
2,1-090017,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1971, ,
3,1-090017,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1982, ,
4,1-090017,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1982, ,
1,1-090018,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",07/01/1958, ,
2,1-090018,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",07/01/1958, ,
4,1-090018,500,Closure,"Used Oil","Asphalt Coated or Bare Steel",07/01/1958, ,
1,1-090019,1000,Closure,"Not Listed",Unknown,01/01/1972, ,
1,1-090020,12000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1975, ,
2,1-090020,1500,Closure,Diesel,"Asphalt Coated or Bare Steel",11/01/1975, ,
3,1-090020,12000,Closure,"Regular Gasoline","Fiberglass Reinforced Plastic",12/23/1991, ,
1,1-090021,6000,Closure,Diesel,Unknown,01/01/1972, ,
1,1-090022,1000,Active,Diesel,"Asphalt Coated or Bare Steel",08/01/1967, ,
2,1-090022,1000,Active,Diesel,"Fiberglass Reinforced Plastic",08/18/1992, ,
DT2,1-090022,200,Active,Diesel,"Asphalt Coated or Bare Steel",01/01/1999, ,
1,1-090023,500,Closure,Diesel,"Asphalt Coated or Bare Steel",04/01/1976, ,
1,1-090024,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",12/01/1966, ,
1,1-090025,1600,Closure,Diesel,"Asphalt Coated or Bare Steel",09/01/1967, ,
1,1-090026,500,Closure,Diesel,"Asphalt Coated or Bare Steel",06/01/1973, ,
1,1-090027,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1971, ,
2,1-090027,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1971, ,
3,1-090027,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1971, ,
4,1-090027,550,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1971, ,
1,1-090029,12000,Closure,"Jet Fuel","Fiberglass Reinforced Plastic",03/01/1983, ,
2,1-090029,12000,Closure,"Aviation Gas","Fiberglass Reinforced Plastic",03/01/1983, ,
1,1-090030,300,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",01/01/1963, ,
1,1-090031,2000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",08/01/1979, ,
2,1-090031,2000,Closure,Empty,"Cathodically Protected Steel (Impressed Current)",08/01/1979, ,
1,1-090032,1000,Closure,"Not Listed","Asphalt Coated or Bare Steel",05/01/1985, ,
2,1-090032,1000,Closure,"Not Listed","Asphalt Coated or Bare Steel",05/01/1985, ,
1,1-090033,5000,Active,"Regular Gasoline","Fiberglass Reinforced Plastic",01/01/1982, ,
2,1-090033,10000,Active,"Regular Gasoline","Fiberglass Reinforced Plastic",01/01/1972, ,
3,1-090033,10000,Active,"Regular Gasoline","Fiberglass Reinforced Plastic",01/01/1972, ,
4,1-090033,1063,Active,Diesel,"Fiberglass Reinforced Plastic",01/01/1972, ,
5,1-090033,1063,Active,"Used Oil","Fiberglass Reinforced Plastic",01/01/1972, ,
6,1-090033,8000,Active,Diesel,"Fiberglass Reinforced Plastic",08/01/1993,"Tank 3 Diesel",
7,1-090033,10000,Active,"E10 Premium","Fiberglass Reinforced Plastic",08/01/1993,"Tank 2 Sup",
8,1-090033,12000,Active,"E10 Regular","Fiberglass Reinforced Plastic",08/01/1993,"Tank 1 Reg",
1,1-090034,2500,Closure,"Used Oil","Asphalt Coated or Bare Steel",01/01/1961, ,
2,1-090034,1500,Closure,"Used Oil","Asphalt Coated or Bare Steel",01/01/1961, ,
3,1-090034,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1961, ,
4,1-090034,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1961, ,
1,1-090036,20000,Closure,Diesel, ,01/01/1978, ,
2,1-090036,20000,Closure,Diesel, ,01/01/1978, ,
3,1-090036,20000,Closure,"Regular Gasoline", ,01/01/1978, ,
4,1-090036,20000,Closure,"Jet Fuel", ,01/01/1978, ,
5,1-090036,15000,Closure,"Aviation Gas", ,01/01/1978, ,
6,1-090036,10000,Closure,"Aviation Gas","Cathodically Protected Steel (Impressed Current)",05/01/1980, ,
7,1-090036,10000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",05/01/1980, ,
8,1-090036,20000,Closure,"Jet Fuel", ,01/01/1978, ,
9,1-090036,20000,Closure,"Jet Fuel", ,01/01/1978, ,
10,1-090036,20000,Closure,"Jet Fuel", ,01/01/1978, ,
11,1-090036,20000,Closure,Diesel, ,01/01/1978, ,
12,1-090036,110,Closure,"Used Oil", ,01/01/1978, ,
13,1-090036,110,Closure,"Used Oil", ,01/01/1978, ,
1,1-090037,1000,Closure,"Regular Gasoline","Epoxy Coated Steel",01/01/1979, ,
1,1-090038,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1957, ,
2,1-090038,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1974, ,
3,1-090038,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1962, ,
4,1-090038,300,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1982, ,
1,1-090039,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1968, ,
2,1-090039,1000,Closure,"Regular Gasoline", ,12/22/1988, ,
1,1-090040,2000,Closure,Diesel,"Cathodically Protected Steel (Impressed Current)",01/01/1986, ,
1,1-090041,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1971, ,
2,1-090041,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1971, ,
3,1-090041,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1971, ,
4,1-090041,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1971, ,
5,1-090041,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1971, ,
6,1-090041,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1970, ,
7,1-090041,10000,Closure,Diesel,"Asphalt Coated or Bare Steel",06/01/1972, ,
1,1-090042,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
2,1-090042,550,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
3,1-090042,550,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1976, ,
1,1-090044,2000,Closure,"Not Listed","Asphalt Coated or Bare Steel",01/01/1976, ,
2,1-090044,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
3,1-090044,4000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",07/01/1987, ,
1,1-090045,3500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1959, ,
2,1-090045,5000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1959, ,
3,1-090045,225,Closure,"Used Oil","Asphalt Coated or Bare Steel",01/01/1959, ,
1,1-090047,12000,Active,"E10 Regular","Cathodically Protected Steel (Impressed Current)",05/15/1986,1,
2,1-090047,12000,Active,Diesel,"Cathodically Protected Steel (Impressed Current)",05/15/1986,2,
3,1-090047,6000,Active,"Premium Gasoline","Cathodically Protected Steel (Impressed Current)",07/10/1991,3,
4,1-090047,6000,Active,"Offroad Diesel","Cathodically Protected Steel (Impressed Current)",07/10/1991,4,
5,1-090047,1000,Active,"Regular Gasoline",Unknown,01/01/1976, ,
6,1-090047,12000,Active,"Regular Gasoline",Unknown,01/01/1976, ,
7,1-090047,12000,Active,Diesel,Unknown,01/01/1976, ,
1,1-090049,500,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",09/01/1985, ,
1,1-090050,10000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1969, ,
2,1-090050,10000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1969, ,
3,1-090050,6000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1973, ,
4,1-090050,4000,Active,Diesel,"Asphalt Coated or Bare Steel",01/01/1973, ,
5,1-090050,4000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1973, ,
6A,1-090050,4000,Active,Diesel,"Composite (Steel w/ FRP)",10/01/1994,"Tank 1",
6B,1-090050,6000,Active,"E10 Premium","Composite (Steel w/ FRP)",10/01/1994,"Tank 2",
7A,1-090050,4000,Active,"Premium Gasoline","Composite (Steel w/ FRP)",10/01/1994,Tank3,
8M,1-090050,5000,Active,"E10 Regular","Fiberglass Reinforced Plastic",10/01/1994,"Tank 5",
7BM,1-090050,6000,Active,"E10 Regular","Composite (Steel w/ FRP)",10/01/1994,"Tank 4",
1,1-090051,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1967, ,
1,1-090052,10000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1979, ,
1,1-090053,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1979, ,
2,1-090053,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1979, ,
3,1-090053,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
4,1-090053,550,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1956, ,
1,1-090054,10000,Active,"E10 Regular","Cathodically Protected Steel (Impressed Current)",01/01/1979,"Unleaded Reg",
2,1-090054,4000,Active,"E10 Premium","Cathodically Protected Steel (Impressed Current)",01/01/1979,"Unleaded Sup",
3,1-090054,2000,Active,Diesel,"Cathodically Protected Steel (Impressed Current)",01/01/1979,Diesel,
1,1-090055,2000,Active,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",12/22/1988,"Tank 1",
2,1-090055,2000,Active,"Premium Gasoline","Cathodically Protected Steel (Impressed Current)",12/22/1988,"Tank 2",
1,1-090056,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1966, ,
2,1-090056,1000,Closure,"Not Listed","Asphalt Coated or Bare Steel",01/01/1966, ,
3,1-090056,12000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1969, ,
4,1-090056,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1966, ,
5,1-090056,6000,Closure,"Not Listed","Asphalt Coated or Bare Steel",01/01/1971, ,
1,1-090057,2000,Closure,Diesel,"Asphalt Coated or Bare Steel",06/01/1977, ,
2,1-090057,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1977, ,
3,1-090057,500,Closure,"Used Oil","Asphalt Coated or Bare Steel",06/01/1977, ,
1,1-090058,2000,Closure,Diesel,"Asphalt Coated or Bare Steel",08/01/1980, ,
2,1-090058,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",08/01/1980, ,
3,1-090058,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1963, ,
4,1-090058,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",06/01/1963, ,
5,1-090058,300,Closure,"Used Oil","Asphalt Coated or Bare Steel",08/01/1980, ,
1,1-090059,2000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1960, ,
2,1-090059,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1960, ,
1,1-090060,5000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",05/01/1978, ,
2,1-090060,3000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",05/01/1978, ,
3,1-090060,2000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",05/01/1978, ,
4,1-090060,2000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",05/01/1978, ,
5,1-090060,8000,Active,"Regular Gasoline","Composite (Steel w/ FRP)",10/01/1997,"Tank 1",
6,1-090060,8000,Active,"Premium Gasoline","Composite (Steel w/ FRP)",10/01/1997,"Tank 2",
1,1-090061,2000,Closure,"Regular Gasoline",Unknown,01/01/1974, ,
2,1-090061,2000,Closure,"Regular Gasoline",Unknown,01/01/1974, ,
1,1-090062,4000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1980, ,
2,1-090062,4000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1980, ,
3,1-090062,4000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1980, ,
4,1-090062,4000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1980, ,
5,1-090062,4000,Active,Diesel,"Asphalt Coated or Bare Steel",06/01/1980, ,
6,1-090062,5000,Active,"Midgrade Gasoline","Composite (Steel w/ FRP)",10/01/1994,"Prod 4",
7,1-090062,5000,Active,"Premium Gasoline","Composite (Steel w/ FRP)",10/01/1994,Super,
8,1-090062,10000,Active,"Regular Gasoline","Composite (Steel w/ FRP)",10/01/1994,Unlead,
9,1-090062,5000,Active,Diesel,"Composite (Steel w/ FRP)",10/01/1994,Diesel,
1,1-090064,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
2,1-090064,2000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1976, ,
3,1-090064,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
1,1-090065,10000,Active,"Regular Gasoline","Cathodically Protected Steel (Galvanic)",01/01/1990,Unlead,
