"Facility ID","Facility Name","Owner Name","Facility Address","Facility Zip","Facility Status","Facility Type","Facility Phone",City,"Last Inspection",Latitude,Longitude,"Date Certified","Drinking Water Source","UST ID"
1-050036,ITD,"IDAHO TRANSPORTATION DEPARTMENT","HWY 3 RT MP 67.76",83866,Closure,"State Government",,SANTA, ,47.14859000,-116.44031000,10/18/1991,Yes,81
1-050038,"ST. MARIES GENERATOR (1340-BO2)",VERIZON,"510 COLLEGE",83861,Closure,Utilities,,"SAINT MARIES", ,47.31534000,-116.56498000,11/18/1991,Yes,82
1-050041,"CHATCOLET DRAW BRIDGE","UNION PACIFIC RAILROAD","CHATCOLET DRAW BRIDGE",83851,Closure,Railroad,,PLUMMER, ,47.37816000,-116.75405000,12/20/1995,Yes,84
1-050042,"VACANT LOT","WALLACE F KRASSELT","1029 MAIN ST",83861,Closure,"Auto Dealership",,"SAINT MARIES", ,47.31609000,-116.57100000,08/05/1991,Yes,4496
1-050043,"PENDELL OIL INC","PENDELL OIL INC","HWY 3",83830,Closure,"Gas Station",,FERNWOOD, ,47.11613000,-116.39252000,08/01/1995,Yes,85
1-050049,"GERALD HAAS","GERALD HAAS","RT 1 BOX 145",83861,Closure,"Not Listed",,"SAINT MARIES", ,47.20616000,-116.90502000,03/04/1986,Yes,86
1-050050,"ST JOE SPORT STOP INC","Marcie Telford","402 COLLEGE AVE",83861,Active,"Gas Station","(208) 245-4417","SAINT MARIES",5/23/2024,47.31533000,-116.56381000,04/11/1996,Yes,87
1-050051,"ST. MARIES TRUCK STOP","POTLATCH CORP","MILL RD",83861,Closure,Truck/Transporter,,"SAINT MARIES", ,47.32012000,-116.57117000,,Yes,88
1-050052,"DAW FOREST PRODUCTS CO","DAW FOREST PRODUCTS CO","MP 59, HWY 3",83830,Closure,"Not Listed",,FERNWOOD, ,47.06740000,-116.31501000,,Yes,89
1-050054,"BENEWAH COMMUNITY HOSPITAL","BENEWAH COMMUNITY HOSPITAL","229 S 7TH AVE",83861,Active,"Local Government",,"SAINT MARIES",5/21/2024,47.31438000,-116.56672000,08/05/1991,Yes,90
1-050055,"10th Street Superstop","Kenny Osier","211 N 10TH ST",83861,Active,"Gas Station",,"SAINT MARIES",4/22/2024,47.31750000,-116.57026000,06/11/1999,Yes,91
1-050602,"IDL-ST. MARIES","IDAHO DEPARTMENT OF LANDS","1806 MAIN ST",83861,Closure,"State Government",,"SAINT MARIES", ,47.31646000,-116.57949000,06/09/1993,Yes,93
1-050603,"BIG EDDY RESORT","IDAHO DEPARTMENT OF LANDS","ST JOE RIVER RD",83861,Closure,"State Government",,"SAINT MARIES", ,47.29524000,-116.26613000,01/31/1994,Yes,94
1-050604,"UP RIVER SCHOOL","JOINT SCHOOL DIST #41","HWY 3",83830,Closure,Other,,FERNWOOD, ,47.11313000,-116.38999000,12/15/1998,Yes,95
1-050606,"Charlie's Saw Shop, Inc.","Eddie and Suzy Epler","204 College Ave",83861,Closure,"Not Listed",,"SAINT MARIES", ,47.31517000,-116.56173200,08/27/2007,Yes,5760
1-050607,"Former ITD Maintenance Yard","IDAHO TRANSPORTATION DEPARTMENT","15 E Cora",83866,Closure,"State Government",,SANTA, ,,,06/09/2009,Yes,5938
1-050608,"Potlatch Corporation","POTLATCH CORP","1100 Railroad Av.",83861,Closure,Industrial,,"SAINT MARIES", ,47.31987600,-116.57210700,,Yes,262fa2b6-ee82-4f10-b4ff-c990792b92ce
1-050609,"St. Maries Joint School District No. 41 Bus Garage", ,"240 11th Street",83861,Closure,School,,"SAINT MARIES", ,47.31458800,-116.57084800,,Yes,756ef17e-a3d3-44c9-9fd0-ae94ba1d7d78
1-050610,"Idaho Panhandle National Forest", ,"St. Maries Shop",83861,Closure,"Federal Non-Military",,"SAINT MARIES", ,,,,Yes,67e9a7ac-b5d0-411b-8099-68986d4f2fb2
1-050611,"St. Maries Concrete","St. Maries Concrete Inc.,Thomas Harold","2294 St. Joe River Rd.",83861,Closure,Truck/Transporter,,"SAINT MARIES", ,47.34113500,-116.53582900,04/23/2020,Yes,5e8adae7-29bf-4edc-abf0-67994763d9fc
1-090001,"POLES, INCORPORATED","POLES INC","E 400 1ST AVE",83822,Closure,Industrial,,OLDTOWN, ,48.18106000,-117.03583000,09/18/1991,Yes,96
1-090002,"KEN PAGE","KEN PAGE","503 BLACKTAIL RD",83809,Closure,"Not Listed",,CAREYWOOD, ,48.11584000,-116.60843000,10/27/1994,Yes,97
1-090003,"JIM LINTON","JIM LINTON,JAMES LINTON","3334 HWY 57, HCR 5 BOX 44",83856,Closure,Other,"(208) 448-1600","PRIEST RIVER", ,48.22269900,-116.90998500,12/20/1998,Yes,98
1-090004,"TAYLOR PARKER MOTORS","JACK PARKER,JOHN B PARKER","300 CEDAR ST",83864,Closure,"Auto Dealership",,SANDPOINT, ,48.27638400,-116.55065400,08/02/1991,Yes,4497
1-090005,"PRIEST RIVER JR HIGH SCHOOL","BONNER COUNTY SCHOOL DIST #82","PRIEST RIVER HWY 2",83856,Closure,"State Government",,"PRIEST RIVER", ,48.18125000,-116.91862000,01/28/1993,Yes,99
1-090006,"BONNER COUNTY ROAD DEPT SHOP #2","BONNER COUNTY","HWY 57",83856,Closure,"Local Government",,"PRIEST RIVER", ,48.18295000,-116.89210000,06/26/1995,Yes,100
1-090007,"IDAHO COUNTRY RESORTS","PEND ORIELLE LTD","141 IDAHO COUNTRY RD",83836,Closure,Other,,HOPE, ,48.27856000,-116.35028000,12/15/1998,Yes,101
1-090008,"BONNER COUNTY ROAD DEPT SHOP #3","BONNER COUNTY","1750 BALDY MOUNTAIN RD",83864,Closure,"Local Government",,SANDPOINT, ,48.28816000,-116.57175000,06/26/1995,Yes,102
1-090009,"EMERGENCY GENERATOR","BONNER COUNTY","215 S 1ST AVE",83864,Closure,"Local Government",,SANDPOINT, ,48.27154000,-116.54733000,,Yes,103
1-090010,"ALGOMA MINI MART","PACIFIC NORTHWEST FUEL","468215 HWY 95 S",83860,Closure,"Gas Station",,SAGLE, ,48.19642000,-116.57254000,10/23/1991,Yes,104
1-090011,"SANDPOINT SR HIGH SCHOOL","BONNER COUNTY SCHOOL DIST #82","310 S DIVISION AVE",83864,Closure,"State Government",,SANDPOINT, ,48.27055000,-116.56820000,10/31/1991,Yes,105
1-090013,"VAY GENERAL STORE","OREST HELASH","HCR 1 BOX 271",83856,Closure,"Not Listed",,"PRIEST RIVER", ,48.12737000,-116.77495000,05/10/1986,Yes,106
1-090014,"CO-OP GAS & SUPPLY 1","CO-OP GAS & SUPPLY","5TH & PINE ST",83864,Closure,"Gas Station",,SANDPOINT, ,48.27331000,-116.55367000,08/06/1999,Yes,107
1-090015,"CO-OP GAS & SUPPLY 2","CO-OP GAS & SUPPLY","504 CHURCH ST",83864,Closure,"Gas Station",,SANDPOINT, ,48.27414000,-116.55443000,08/20/1998,Yes,108
1-090016,"CO-OP GAS AND SUPPLY 3","CO-OP GAS & SUPPLY","530 CHURCH ST",83864,Closure,"Petroleum Distributor",,SANDPOINT, ,48.27420000,-116.55471000,08/31/1991,Yes,1
1-090017,"SAGLE VALLEY GENERAL STORE", ,"HWY 95 S & SAGLE RD
( 15 SAGLE RD)",83860,Closure,"Gas Station",,SAGLE, ,48.20326000,-116.56510000,07/19/2000,Yes,2
1-090018,"IDAHO TRANSPORTATION DEPT","IDAHO TRANSPORTATION DEPARTMENT","HWY 57 MP 0.733",83856,Closure,"State Government",,"PRIEST RIVER", ,48.19093000,-116.91283000,10/18/1991,Yes,3
1-090019,"PACIFIC POWER & LIGHT","PACIFIC POWER & LIGHT","PINE & LINCOLN AVE",83864,Closure,Utilities,,SANDPOINT, ,48.27385000,-116.57493000,10/15/1991,Yes,4
1-090020,"SANDPOINT GAS SHED 1480-B",VERIZON,"7550 KOOTENAI CUTOF RD",83864,Closure,Utilities,,SANDPOINT, ,48.30901000,-116.53967000,,Yes,5
1-090021,"BALD MOUNTAIN MICROWAVE",VERIZON,"76 MI NW OF SANDPOINT",83864,Closure,"Not Listed",,SANDPOINT, ,,,,Yes,6
1-090022,"Sandpoint Central Office (1350)","Northwest Fiber LLC dba Ziply Fiber","401 N 2ND ST",83864,Active,Utilities,,SANDPOINT,8/30/2023,48.27624000,-116.54888000,,Yes,7
1-090023,"PRIEST RIVER CTRL OFC (1310-BIA)",VERIZON,"120 WISCONSIN ST",83856,Closure,Utilities,,"PRIEST RIVER", ,48.17973000,-116.90925000,,Yes,8
1-090024,"GTE CENTRAL OFFICE-PRIEST LAKE",VERIZON,"KALISPELL BAY RD",83856,Closure,Utilities,,"PRIEST LAKE", ,48.56789000,-116.92817000,,Yes,9
1-090025,"HOPE CENTRAL OFFICE (1150-BO1)",VERIZON,"522 WELLINGTON PL",83836,Closure,Utilities,,HOPE, ,48.24202000,-116.29807000,,Yes,10
1-090026,"CLARK FORK CTRL OFC (1030-B02)",VERIZON,"302 MAIN",83811,Closure,Utilities,,"CLARK FORK", ,48.14609000,-116.17791000,,Yes,11
1-090027,"CLARK FORK EXXON","DAVE DALBY","HWY 200 & MILL ST",83811,Closure,"Not Listed",,"CLARK FORK", ,48.14532000,-116.17565000,05/07/1986,Yes,4434
1-090029,"Granite Aviation, LLC","BONNER COUNTY,Andrew Berry","1100 AIRPORT WY",83864,Closure,"Air Taxi (Airline)",,SANDPOINT,1/23/2013,48.29419000,-116.56274000,,Yes,12
1-090030,"PEND OREILLE LANDING RESORT","ROBERT H DOMES","450 PRINGLE AVE",83836,Closure,Other,,HOPE, ,48.24028000,-116.29710000,,Yes,13
1-090031,"PRIEST RIVER MUNICIPAL AIRPORT","Rich Mendive","Mile 1 HWY 57",83856,Closure,"Aircraft Owner",,"PRIEST RIVER",6/9/2010,48.18883000,-116.91300000,06/09/2010,Yes,14
1-090032,"IDAHO FOREST INDUSTRIES,","IDAHO FOREST INDUSTRIES INC","RT 1 BOX 1A, SPRINGDALE GARDENS",83856,Closure,Industrial,,"PRIEST RIVER", ,48.17341000,-116.90877900,,Yes,15
1-090033,"Chevron Downtown","AGC ENTERPRISES LLC,Adrian Cox","402 N 5TH AVE",83864,Active,"Gas Station",,SANDPOINT,12/18/2024,48.27630000,-116.55305000,,Yes,16
1-090034,"PGT COMPRESSOR STA 4, SANDPOINT","PACIFIC GAS TRANSMISSION CO","550 SAMUELS RD",83864,Closure,Other,,SANDPOINT, ,48.43458000,-116.48722000,,Yes,17
1-090036,"BIRD SPACE TECHNOLOGY RANCH","Forrest M. Bird Trust","90 BIRD RANCH RD",83860,Closure,"Aircraft Owner",,SAGLE,9/26/2017,48.23116000,-116.39066000,,Yes,18
1-090037,"CABINET GORGE POWER STATION","WASHINGTON WATER POWER CO","HWY 200",83811,Closure,Utilities,,"CLARK FORK", ,48.08724000,-116.05754000,,Yes,19
1-090038,"PRIEST LAKE RS","IDAHO PANHANDLE NAT'L FOREST","HWY 57",83856,Closure,"Federal Non-Military",,"PRIEST RIVER", ,48.57432000,-116.95698000,,Yes,20
1-090039,"SANDPOINT WORK CENTER","IDAHO PANHANDLE NAT'L FOREST","HWY 2 AT WESTWOOD",83864,Closure,"Federal Non-Military",,SANDPOINT, ,48.26677000,-116.57302000,,Yes,21
1-090040,"CABINET GORGE FISH HATCHERY","IDAHO DEPT OF FISH & GAME","HWY 200",83811,Closure,"State Government",,"CLARK FORK", ,48.08539000,-116.07624000,,Yes,22
1-090041,"CARL PITTS","CARL PITTS","RT 2 BOX 145",83822,Closure,"Gas Station",,OLDTOWN, ,48.16657000,-117.02474000,,Yes,23
1-090042,"CITY OF SANDPOINT SHOP","CITY OF SANDPOINT","812 HICKORY ST",83864,Closure,"State Government",,SANDPOINT, ,48.28113000,-116.55975000,,Yes,24
1-090044,"NORTHERN LIGHT AVIATION","NORTHERN LIGHT AVIATION/LODI & DOUG HAWKINS","3105 N BOYER AVE",83864,Closure,"Aircraft Owner",,SANDPOINT, ,48.29984800,-116.55785300,08/05/2003,Yes,25
1-090045,"BILL'S HONDA SALES", ,"116 N 1ST AVE",83864,Closure,"Gas Station",,SANDPOINT, ,48.27360000,-116.54758000,10/23/1991,Yes,26
1-090047,"MAC'S & MAMMA MAC'S DELI CAFE","BABA LLC,Mohinder (Mike) Singh","708 9TH ST",83856,Active,"Gas Station",,"PRIEST RIVER",1/17/2023,48.18547000,-116.91554000,09/30/1991,Yes,27
1-090049,"SANDPOINT RESEARCH & EXTENSION CENTER","UNIVERSITY OF IDAHO","2105 N BOYER AVE",83864,Closure,"State Government",,SANDPOINT, ,48.29170900,-116.55667600,,Yes,29
1-090050,"Babe's One Stop","ELDEN M and JACKIE GOODWIN","31076 HWY 200 E",83852,Active,"Gas Station",,PONDERAY,9/23/2024,48.30497000,-116.53505000,05/26/1995,Yes,30
1-090051,"NORTHERN LIGHTS WAREHOUSE","NORTHERN LIGHTS INC","ROUTE 5, BOX 143 (HWY 57)",83856,Closure,Other,,"PRIEST RIVER", ,48.50501000,-116.91263000,04/28/1986,Yes,31
1-090052,"SANDPOINT PREMIX INC","INTERSTATE CONCRETE ASPHALT CO","1031 BALDY RD",83864,Closure,"Not Listed",,SANDPOINT, ,48.28940000,-116.56503000,04/29/1986,Yes,32
1-090053,"OUTLET RESORT","STRATTON,RICHARD BARNES","HCR 5 BOX 138",83856,Closure,"Not Listed",,"PRIEST RIVER", ,48.49423000,-116.89111000,04/30/1986,Yes,33
1-090054,TAMRAK,"BILL OLMO","27914 Hwy 57",83856,Active,"Gas Station",,"PRIEST RIVER",4/19/2022,48.51613000,-116.92744000,06/08/2010,Yes,34
1-090055,"Moose Knuckle Tavern","Laura Glaspey","10 CAVANAUGH BAY RD",83821,Active,"Gas Station","(208) 443-2042",COOLIN,5/20/2024,48.47582000,-116.84683000,06/04/1999,Yes,35
1-090056,"DAW FOREST PRODUCTS COMPANY","DAW FOREST PRODUCTS CO","DIAMOND RD RT 4",83822,Closure,"Not Listed",,OLDTOWN, ,48.18295000,-117.02399000,04/16/1986,Yes,36
1-090057,"IDAHO TRANSPORTATION DEPT","IDAHO TRANSPORTATION DEPARTMENT","HWY 41 RT MP 18.645",83869,Closure,"State Government",,"SPIRIT LAKE", ,47.95996000,-116.86747000,07/16/1996,Yes,37
1-090058,"IDAHO TRANSPORTATION DEPT","IDAHO TRANSPORTATION DEPARTMENT","HWY 200 RT MP 30.848",83864,Closure,"State Government",,SANDPOINT, ,48.30256000,-116.53733000,10/18/1991,Yes,38
1-090059,"IDAHO TRANSPORTATION DEPT","IDAHO TRANSPORTATION DEPARTMENT","HWY 200 LT MP 54.825",83811,Closure,"State Government",,"CLARK FORK", ,48.15063000,-116.18227000,10/18/1991,Yes,39
1-090060,"HILLS RESORT INC.","HILLS RESORT INC","4777 W LAKE SHORE RD",83856,Active,"Gas Station","(208) 443-2551","PRIEST RIVER",4/22/2022,48.53871000,-116.92135000,10/23/1991,Yes,40
1-090061,"GARFIELD BAY COOP BOAT MOORAGE","ETHEL & HERMAN RENFRO","GARFIELD BAY RD",83860,Closure,Other,,SAGLE, ,48.18461000,-116.43036000,08/20/1991,Yes,41
1-090062,"PRIEST LAKE SERVICE CTR","PETER VINCENT PECORA III","HWY 57 MP 28 
LAMB CREEK HWY",83856,Active,"Gas Station",,"PRIEST RIVER",4/11/2022,48.52177000,-116.93501000,05/13/2005,Yes,42
1-090064,"GERRY D BRADBURY","GERRY D BRADBURY","303 N STATE",83822,Closure,"Gas Station",,OLDTOWN, ,48.18294000,-117.03916000,07/29/1991,Yes,43
1-090065,"WESTMOND STORE & DELI","Lakhbir Kaur (ASLK LLC)","40 WESTMOND RD",83860,Active,"Gas Station",,SAGLE,4/25/2024,48.13900000,-116.59958000,10/09/1991,Yes,4435
1-090066,"CAREYWOOD STORE","KENNETH E THOMAS,KENNETH THOMAS","1202 HWY 95-S",83809,Closure,"Gas Station",,CAREYWOOD, ,48.03420000,-116.64301000,06/11/1995,Yes,44
1-090067,"COLBURN GENERAL STORE INC","LAWRENCE K WOOLSEY","HWY 95 N",83865,Closure,"Not Listed",,COLBURN, ,,,12/30/1985,Yes,45
1-090068,"LOUISIANA PACIFIC CORP (1)","ZOLLINGER CONSTRUCTION, INC.","808 N BOYER AVE",83864,Closure,Industrial,,SANDPOINT, ,48.28097000,-116.55666000,12/23/1996,Yes,46
1-090069,"ELLISPORT BAY MARINE","ELLISPORT BAY MARINE","HWY 200 E",83836,Closure,Other,,HOPE, ,48.23592000,-116.28713000,11/04/1991,Yes,47
1-090070,"G RANDOIEW RESORT","G RANDOIEW RESORT,ROBERT BENSCOTER","HC 01 BOX 48",83848,Closure,Other,,NORDMAN, ,48.63243000,-116.87762000,11/05/1991,Yes,48
1-090071,"LEONARD PAUL STORE","GORDON J HUDSON","341 BAYVIEW DR",83821,Closure,"Gas Station","(208) 443-2463",COOLIN, ,48.48006000,-116.84889000,11/12/1999,Yes,49
1-090072,"Rocket Thai LLC","Rocket Thai LLC,Seth Callos","905 W ALBENI RD",83856,Active,"Gas Station",,"PRIEST RIVER",4/23/2024,48.18038000,-116.91600100,06/04/1998,Yes,50
1-090073,"HOLIDAY SHORES MARINA","Ralph Sletager,Waterfront Property Management LLC","46624 HWY 200 E",83836,Active,"Gas Station",,HOPE,9/19/2024,48.23591000,-116.28711000,05/20/2002,Yes,51
1-090074,"SANDY BEACH RESORT","GEORGE C POOR,GEORGE POOR","4405 LOOP RD",83813,Closure,Other,,COCOLALLA, ,48.10004000,-116.62628000,08/18/1998,Yes,52
1-090075,"BLANCHARD TRADING CO","A C BYINGTON","SS HWY 41",83804,Closure,"Not Listed",,BLANCHARD, ,48.01626000,-116.98385000,12/30/1985,Yes,53
1-090076,"BLUE DIAMOND MARINA CORP","BLUE DIAMOND MARINA CORP.","230 E SHORE RD",83821,Closure,Other,,COOLIN, ,48.53126000,-116.83475000,02/22/1992,Yes,54
1-090077,"CURLEY'S SALES & SERVICE","SONNY JAMES LINTON","919 W ALBENI RD",83856,Active,"Gas Station",,"PRIEST RIVER",4/19/2022,48.18025000,-116.91788000,10/18/1998,Yes,55
1-090078,"Clark Oil","COLEMAN OIL CO, LLC","523 LARCH ST",83864,Closure,"Petroleum Distributor","(208) 263-3816",SANDPOINT,2/11/2010,48.27995000,-116.55460000,07/06/2005,Yes,56
1-090079,"ISLAND VIEW RESORT","JOHN E CARLSON","300 ISLAND VIEW",83836,Closure,Other,,HOPE, ,48.20918000,-116.28758000,01/30/2000,Yes,57
1-090080,"CAVANAUGH'S AT PRIEST LAKE","Resort at Cavanaugh's, LLC,John Greig","4024 Cavanaugh Bay Rd",83821,Active,"Gas Station",,COOLIN,8/27/2024,48.52300000,-116.82359000,,Yes,58
1-090081,"LOUISIANA PACIFIC CORP (2)","ZOLLINGER CONSTRUCTION, INC.","HWY 2 1 MILE EAST OF TOWN OF PRIEST RIVER",83856,Closure,Industrial,,"PRIEST RIVER", ,48.18305000,-116.89173000,11/18/1999,Yes,4436
1-090082,"BONNER COUNTY","BONNER COUNTY","PARKING LOT S OF GENERATOR",83864,Closure,"Local Government",,SANDPOINT, ,48.27152000,-116.54684000,08/13/1991,Yes,59
1-090083,"SANDPOINT MARINA","Waterfront Property Management LLC","120 E LAKE ST",83864,Active,Marina,,SANDPOINT,3/2/2022,48.27233000,-116.54626000,07/30/1991,Yes,60
1-090084,"VAY SECTION TOOL HOUSE","UNION PACIFIC RAILROAD","MP 57.7",83825,Closure,Railroad,,DOVER, ,48.11847000,-116.77540000,04/29/1986,Yes,61
1-090085,"SANDPOINT SECTION TOOL HOUSE","UNION PACIFIC RAILROAD","MP 74.7",83864,Closure,Railroad,,SANDPOINT, ,48.27463000,-116.55483000,04/29/1986,Yes,4494
1-090086,"PRIEST RIVER DEPOT PRINT","BURLINGTON NORTHERN RR CO","3RD SUB L.S. 37 MP 1424.2",83856,Closure,"Not Listed",,"PRIEST RIVER", ,48.17801100,-116.90676600,05/02/1986,Yes,62
1-090087,"SOUTHSIDE SCHOOL","BONNER COUNTY SCHOOL DIST #82","HWY 95",83813,Closure,"State Government",,COCOLALLA, ,48.10268000,-116.61548000,10/31/1991,Yes,63
1-090088,"NORTHSIDE SCHOOL","BONNER COUNTY SCHOOL DIST #82","7881 COLBURN CULVER RD",83864,Closure,"State Government",,SANDPOINT, ,48.36499000,-116.43959000,12/09/1999,Yes,64
1-090089,"CLARK FORK SCHOOL","BONNER COUNTY SCHOOL DIST #82","HWY 200 & 4TH ST",83811,Closure,"State Government",,"CLARK FORK", ,48.14729000,-116.17600000,10/31/1991,Yes,65
1-090091,"SANDPOINT SUBSTATION","BONNEVILLE POWER ADMINISTRATION","HWY 2 & W PINE ST, W OF SANDPOINT HWY 200",83864,Closure,Utilities,,SANDPOINT, ,48.25266700,-116.62529600,04/04/1986,Yes,151
1-090092,"PRIEST LAKE STATE PARK (MARINA)/OEHRLING","IDAHO DEPARTMENT OF LANDS","INDIAN CREEK BAY",83821,Closure,"State Government",,COOLIN, ,48.61035000,-116.83108000,09/10/2002,Yes,152
1-090093,"PRIEST RIVER EXPERIMENTAL STATION","USDA FOREST SERVICE","PRIEST RIVER",83856,Closure,"Federal Non-Military",,"PRIEST RIVER", ,48.35182000,-116.83643000,08/29/1991,Yes,153
1-090094,"ALBENI FALLS DAM","US ARMY CORPS OF ENGINEERS","2376 E HWY 2",83856,Closure,"Federal Non-Military",,"PRIEST RIVER",2/13/2019,48.17899000,-116.99225000,01/08/2003,Yes,154
1-090095,"ROUND LAKE STATE PARK","ID DEPT OF PARKS & RECREATION-Operations","P.O. BOX 170",83860,Closure,"State Government",,SAGLE, ,48.16522000,-116.63653000,01/12/1998,Yes,155
1-090096,"SCHWEITZER INC.","SCHWEITZER INC","SKI AREA MAINTENANCE BLDG",83864,Closure,"Not Listed",,SANDPOINT, ,48.36518000,-116.61947000,05/07/1986,Yes,156
1-090098,"SANDPOINT COMPUTER #11","BURLINGTON NORTHERN RR CO","LS 37 3RD SUBDV MP 1402.7",83864,Closure,"Not Listed",,SANDPOINT, ,48.28707100,-116.55384600,04/18/1986,Yes,157
1-090099,"SANDPOINT MILEPOST 3.0/14","BURLINGTON NORTHERN RR CO","3RD & 1ST SUB L.S. 45/37",83864,Closure,"Not Listed",,SANDPOINT, ,,,05/02/1986,Yes,158
1-090100,"SANDPOINT COMPUTER 8 & 9","BURLINGTON NORTHERN RR CO","LS 45 MP 3 1ST SUBD",83864,Closure,"Not Listed",,SANDPOINT, ,48.27639300,-116.54561700,04/18/1986,Yes,159
1-090101,"LITTLE BLACKTAIL MTN. COM","BURLINGTON NORTHERN RR CO","LITTLE BLACKTAIL MOUNTAIN RD, MICROWAVE TOWER 1ST SUBDV",83809,Closure,Other,,CAREYWOOD, ,48.09451000,-116.55487800,04/18/1986,Yes,160
1-090102,"NORTHERN LIGHTS, INC.","NORTHERN LIGHTS INC","1423 DOVER HWY",83864,Closure,"Not Listed",,SANDPOINT, ,48.26721000,-116.56756000,,Yes,4502
1-090103,"DJ'S SUPER STORE","John Kirk","2964 E HIGHWAY 2",83822,Active,"Gas Station",,OLDTOWN,1/19/2023,48.17995000,-116.98380000,08/12/1991,Yes,161
1-090105,"BISHOP MARINA","PLBM, LLC","354 Bayview Dr",83821,Active,Marina,,COOLIN,5/20/2024,48.48056000,-116.84926000,09/20/2007,Yes,162
1-090106,"COLBURN MILL","W-I FOREST PROD L P","HWY 95 N",83864,Closure,"Not Listed",,SANDPOINT, ,48.41124000,-116.52377000,,Yes,163
1-090107,"LAKE PRE-MIX CONCRETE","LAKE PRE-MIX CONCRETE,MARC LAFRENZ","610 SHORT AVE",83864,Closure,Truck/Transporter,,SANDPOINT, ,48.27876000,-116.55439000,08/26/1997,Yes,164
1-090108,"MURRAY EQUIPMENT","MURRAY EQUIPMENT","W 1015 ALBENI RD",83856,Closure,Other,,"PRIEST RIVER", ,48.18007000,-116.91837000,08/09/1991,Yes,165
1-090109,"SANDPOINT GAS & GO","Sydney Oskoui","830 N 5TH AVE",83864,Active,"Gas Station",,SANDPOINT,9/3/2024,48.28074000,-116.55263000,07/17/2003,Yes,166
